Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W026,A004,"Serious Adverse Reactions (Tendinitis, Neuropathy, CNS Effects)",Patient Condition,"Includes tendinitis, tendon rupture, peripheral neuropathy, CNS effects, and exacerbation of myasthenia gravis. These reactions may be disabling and potentially irreversible. Discontinue levofloxacin immediately if they occur and avoid fluoroquinolones in affected patients. May worsen muscle weakness in myasthenia gravis.",R004
W027,A004,Hypersensitivity,Contraindication,"Known hypersensitivity to levofloxacin, other quinolones or to any component of the product. Patients with epilepsy. Patients with history of tendinitis or tendon rupture associated with the use of any member of the quinolone group of antimicrobial agents.",R004
W028,A004,Restricted Use in Uncomplicated Infections,Patient Condition,"Because fluoroquinolones, including levofloxacin have been associated with serious adverse reactions, reserve levofloxacin for use in patients who have no alternative treatment options for the following indications: Uncomplicated urinary tract infection; Acute bacterial exacerbation of chronic bronchitis; Acute bacterial sinusitis.",R004
W029,A004,Pregnancy Category C,Pregnancy & Lactation,There are no adequate and well controlled studies to date using levofloxacin in pregnant women. The drug should not be used in pregnant women unless the potential benefits justify the potential risks to the fetus.,R004
W030,A004,Lactation Risk,Pregnancy & Lactation,"Levofloxacin has not been measured in human milk. However, based on the ofloxacin data, it can be presumed that levofloxacin will be excreted in human milk. Therefore, a decision should be made whether to discontinue breastfeeding or to discontinue the drug, taking into account the importance of the drug to the mother as well as the possible serious adverse effects to the infant.",R004
W031,A005,Overdosage,Overdosage,"Levofloxacin exhibits a low potential for acute toxicity. In the event of an acute overdosage, the stomach should be emptied. The patient should be observed and appropriate hydration maintained. Levofloxacin is not efficiently removed by hemodialysis or peritoneal dialysis.",R005
W032,A005,Hypersensitivity,Contraindication,Levofloxacin is contraindicated in patients with a history or known hypersensitivity to this drug and/or other fluoroquinolone antibacterials.,R005
W033,A005,Pediatric Use,Age Restriction,"Levofloxacin is not indicated for pediatric patients (less than 18 years of age). An increased incidence of musculoskeletal disorders (arthralgia, arthritis, tendonopathy, and gait abnormality) has been observed in these patients.",R005
W034,A005,Epilepsy and Tendon Disorder History,Contraindication,Patients with epilepsy; history of tendon disorders related to fluoroquinolone administration.,R005
W035,A005,Use in Pregnancy,Pregnancy & Lactation,Levofloxacin should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus.,R005
W036,A005,Use in Pregnancy,Pregnancy & Lactation,There are no adequate and well-controlled studies in pregnant women. The safety and efficacy in pregnant women has not been established.,R005
W037,A005,Use in Lactation,Pregnancy & Lactation,Levofloxacin has not been measured in human milk. It can be presumed to be excreted in human milk. Nursing should not be undertaken due to potential serious adverse reactions in nursing infants.,R005
W038,A006,Overdosage,Overdosage,Levofloxacin tablets do not seem to be especially toxic in overdose. Treatment varies depending on the case. Recent overdose may require medicines or gastric “pump the stomach.” Supportive care includes IV fluids if necessary and monitoring of vital signs such as heart rate and breathing. Other treatments depend on complications. Seek medical attention immediately.,R006
W039,A006,Tendon Effects,Patient Condition,"Tendon rupture involving shoulder, hand, or Achilles tendon has been reported. Risk is higher in patients receiving corticosteroids and in the elderly. Discontinue levofloxacin if pain, inflammation, or rupture occurs. Patients should rest and avoid exercise until tendon disorders are excluded. Rupture can occur during or after therapy.",R006
